formula_id,scope,category,method_id,activity_inputs,factor_inputs,formula_expression,output_unit,required_controls,notes
S1.STATIONARY.DIRECT,1,Stationary combustion,stationary_direct,"fuel_quantity;fuel_unit","EF_direct_kgCO2e_per_unit","SUM(fuel_quantity_normalized * EF_direct)",kgCO2e,"factor_type=combustion_direct;facility;period;carbon_origin","For fossil/biogenic fuel; separate biogenic CO2 memo when applicable"
S1.STATIONARY.GAS,1,Stationary combustion,stationary_gas_specific,"fuel_quantity;NCV","EF_CO2;EF_CH4;EF_N2O;GWP_set","SUM_gas((fuel_quantity*NCV_MJ_per_unit/1000000)*EF_gas_kg_per_TJ*GWP_gas)",kgCO2e,"NCV_unit;GWP_version;gas_basis","Energy conversion to TJ"
S1.MOBILE.FUEL,1,Mobile combustion,mobile_fuel_based,"fuel_quantity;fuel_type","EF_combustion","SUM(fuel_quantity * EF_combustion)",kgCO2e,"vehicle_or_asset;period;factor_type=combustion","Owned/controlled mobile source"
S1.MOBILE.DISTANCE,1,Mobile combustion,mobile_distance_based,"distance_km;fuel_efficiency_l_per_km","EF_combustion","SUM(distance_km * fuel_efficiency_l_per_km * EF_combustion)",kgCO2e,"vehicle_type;efficiency_source","Use only when fuel data unavailable"
S1.MOBILE.EV,1,Mobile combustion,mobile_ev_electricity,"electricity_kWh","EF_electricity","SUM(electricity_kWh * EF_electricity)",kgCO2e,"meter_ownership;reconciliation_to_scope2","Avoid double count with Scope 2"
S1.FUGITIVE.LEAKAGE,1,Fugitive emissions,fugitive_direct,"mass_leaked_kg","GWP_kgCO2e_per_kg","SUM(mass_leaked_kg * GWP)",kgCO2e,"gas_type;GWP_version;leakage_status","Refrigerant, SF6, fire suppression, etc."
S1.FUGITIVE.MASS_BALANCE,1,Fugitive emissions,fugitive_mass_balance,"beginning_stock;purchases;sales_transfers;ending_stock;recovered","GWP","SUM((beginning_stock+purchases-sales_transfers-ending_stock-recovered)*GWP)",kgCO2e,"stock_units;gas_type;nonnegative_or_review","Proxy when direct leakage unavailable"
S1.PROCESS.DIRECT,1,Process emissions,process_direct,"process_activity","process_EF_direct","SUM(process_activity * process_EF_direct)",kgCO2e,"process_applicability;source;period","Use process-specific methodology"
S1.PROCESS.GAS,1,Process emissions,process_gas_specific,"process_activity","EF_gas;GWP_set","SUM_gas(process_activity * EF_gas * GWP_gas)",kgCO2e,"gas_basis;GWP_version","Gas-specific process emissions"
S2.LOCATION,2,Purchased energy,scope2_location_based,"energy_consumed_kWh_or_MWh","location_based_generation_EF","SUM(energy_consumed * location_based_generation_EF)",kgCO2e,"grid_region;period;factor_type=grid_generation","Generation emissions only unless factor metadata says otherwise"
S2.MARKET,2,Purchased energy,scope2_market_based,"matched_energy;unmatched_energy","contractual_EF;residual_mix_EF;fallback_EF","SUM(matched_energy*contractual_EF + unmatched_energy*residual_mix_or_fallback_EF)",kgCO2e,"instrument_quality;vintage;geography;coverage;period","Do not apply zero factor without eligible instrument"
S3.CAT1.SUPPLIER,3,Category 1 Purchased goods/services,cat1_supplier_specific,"quantity_purchased","supplier_product_cradle_to_gate_EF","SUM(quantity_purchased * supplier_product_EF)",kgCO2e,"supplier;product;boundary;verification","Cradle-to-gate"
S3.CAT1.AVERAGE,3,Category 1 Purchased goods/services,cat1_average_data,"mass_or_units_purchased","average_product_EF","SUM(quantity * average_product_EF)",kgCO2e,"product_type;factor_geography;period","Secondary average data"
S3.CAT1.SPEND,3,Category 1 Purchased goods/services,cat1_spend_based,"spend_adjusted","EEIO_EF_per_currency","SUM(spend_adjusted * EEIO_EF)",kgCO2e,"currency;price_year;deflator;EEIO_version","Screening/secondary method"
S3.CAT2,3,Category 2 Capital goods,cat2_supplier_average_spend,"quantity_mass_units_or_spend","cradle_to_gate_EF_or_EEIO_EF","SUM(quantity_or_spend * applicable_EF)",kgCO2e,"capital_classification;acquisition_year;no_depreciation","Report in acquisition year; avoid Cat1 double count"
S3.CAT3.FUEL,3,Category 3 Fuel and energy,cat3_upstream_fuel,"fuel_consumed","lifecycle_fuel_EF;combustion_EF","SUM(fuel_consumed * (lifecycle_fuel_EF - combustion_EF))",kgCO2e,"same_time_geography_technical_basis","Exclude combustion already in Scope 1"
S3.CAT3.ENERGY,3,Category 3 Fuel and energy,cat3_upstream_purchased_energy,"energy_consumed","lifecycle_energy_EF;combustion_EF;TD_EF_if_included","SUM(energy_consumed * (lifecycle_EF - combustion_EF - TD_component_if_included))",kgCO2e,"energy_type;region;inclusion_flags","Exclude Scope 2 generation emissions"
S3.CAT3.TD,3,Category 3 Fuel and energy,cat3_td_losses,"energy_consumed;TD_loss_rate","lifecycle_energy_EF","SUM(energy_consumed * lifecycle_energy_EF * TD_loss_rate)",kgCO2e,"grid_region;loss_rate_source","T&D loss rate as decimal"
S3.CAT3.RESALE,3,Category 3 Fuel and energy,cat3_power_resold,"energy_purchased_for_resale","lifecycle_energy_EF","SUM(energy_purchased_for_resale * lifecycle_energy_EF)",kgCO2e,"utility_or_retailer_flag;origin","For purchased energy resold to end users"
S3.CAT4.FUEL,3,Category 4 Upstream transport,cat4_fuel_based,"fuel_quantity;electricity_quantity;refrigerant_leakage","fuel_EF;electricity_EF;GWP","SUM(fuel*EF + electricity*EF + refrigerant*GWP)",kgCO2e,"carrier;allocation_if_shared","Life-cycle factors when applicable"
S3.CAT4.DISTANCE,3,Category 4 Upstream transport,cat4_distance_based,"goods_mass_tonne;distance_km","mode_EF_kg_per_tonne_km","SUM(goods_mass_tonne * distance_km * mode_EF)",kgCO2e,"transport_mode;route_legs;mass_basis","Use actual distance when available"
S3.CAT4.SPEND,3,Category 4 Upstream transport,cat4_spend_based,"transport_spend_adjusted","transport_EEIO_EF","SUM(transport_spend_adjusted * transport_EEIO_EF)",kgCO2e,"currency;price_year;EEIO_version","Secondary method"
S3.CAT4.STORAGE,3,Category 4 Upstream transport,cat4_storage,"stored_volume;pallet_or_TEU;days","storage_EF_per_unit_day","SUM(stored_unit * days * storage_EF)",kgCO2e,"facility;occupancy_or_throughput","Average-data storage method"
S3.CAT5.WASTE_TYPE,3,Category 5 Waste,cat5_waste_type_specific,"waste_mass_or_volume","treatment_specific_EF","SUM(waste_quantity * treatment_EF)",kgCO2e,"waste_type;treatment_method;third_party_flag","Treatment-specific factor"
S3.CAT5.AVERAGE,3,Category 5 Waste,cat5_average_data,"total_waste_mass;treatment_share","treatment_EF","SUM(total_waste_mass * treatment_share * treatment_EF)",kgCO2e,"share_sum=1;third_party_flag","Treatment share as decimal"
S3.CAT6.DISTANCE,3,Category 6 Business travel,cat6_distance_based,"distance_or_passenger_km;hotel_nights_optional","mode_EF;hotel_EF_optional","SUM(distance_or_passenger_km*mode_EF) + SUM(hotel_nights*hotel_EF)",kgCO2e,"travel_mode;country;class_if_applicable","Hotel optional"
S3.CAT6.SPEND,3,Category 6 Business travel,cat6_spend_based,"travel_spend","travel_EEIO_EF","SUM(travel_spend * travel_EEIO_EF)",kgCO2e,"currency;EEIO_version","Use when distance/fuel unavailable"
S3.CAT7.DISTANCE,3,Category 7 Employee commuting,cat7_distance_based,"employee_profiles;one_way_distance;commuting_days","mode_EF","SUM(one_way_distance*2*commuting_days*mode_EF)",kgCO2e,"mode;carpool_occupancy;survey_period","Aggregate per employee/mode"
S3.CAT7.AVERAGE,3,Category 7 Employee commuting,cat7_average_data,"employee_count;mode_share;one_way_distance;working_days","mode_EF","SUM(employee_count*mode_share*one_way_distance*2*working_days*mode_EF)",kgCO2e,"mode_share_sum=1;source_year","Average-data method"
S3.CAT8.ASSET,3,Category 8 Upstream leased assets,cat8_asset_specific,"leased_asset_fuel;energy;refrigerant;process","applicable_EF;GWP","SUM(fuel*EF + energy*EF + refrigerant*GWP + process)",kgCO2e,"lessee;boundary;lease_fraction","Asset-specific"
S3.CAT8.ALLOCATED,3,Category 8 Upstream leased assets,cat8_lessor_specific,"lessor_S1_S2;leased_area;total_area","none","SUM(lessor_S1_S2 * leased_area / total_area)",kgCO2e,"allocation_basis;lease_fraction","Lessor data allocated to lessee"
S3.CAT8.AVERAGE,3,Category 8 Upstream leased assets,cat8_average_data,"floor_area_or_asset_count","average_EF","SUM(area*EF) or SUM(asset_count*EF)",kgCO2e,"building_or_asset_type;period","Average-data"
S3.CAT9.DISTANCE,3,Category 9 Downstream transport,cat9_distance_based,"goods_mass_sold;distance_km","mode_EF","SUM(goods_mass_sold * distance_km * mode_EF)",kgCO2e,"after_sale;not_paid_by_reporting_company","Transport after point of sale"
S3.CAT10.SITE,3,Category 10 Processing sold products,cat10_site_specific,"fuel;electricity;refrigerant;process;waste","fuel_EF;electricity_EF;GWP;waste_EF","SUM(fuel*EF + electricity*EF + refrigerant*GWP + process + waste*EF)",kgCO2e,"intermediate_product;allocation","Downstream processing"
S3.CAT10.AVERAGE,3,Category 10 Processing sold products,cat10_average_data,"mass_intermediate_product","processing_EF","SUM(mass_intermediate_product * processing_EF)",kgCO2e,"process_type;allocation","Secondary average method"
S3.CAT11.DIRECT_USE,3,Category 11 Use sold products,cat11_direct_energy_use,"units_sold;lifetime_uses;energy_per_use","energy_EF","SUM(units_sold*lifetime_uses*energy_per_use*energy_EF)",kgCO2e,"product_use_profile;geography;life_assumption","Direct energy use"
S3.CAT11.FUEL,3,Category 11 Use sold products,cat11_sold_fuels,"fuel_quantity_sold","combustion_EF","SUM(fuel_quantity_sold * combustion_EF)",kgCO2e,"fuel_type;representativeness","Combustion only"
S3.CAT11.GHG_RELEASE,3,Category 11 Use sold products,cat11_product_GHG_release,"GHG_per_product;units_sold;release_percent","GWP","SUM(GHG_per_product*units_sold*release_percent*GWP)",kgCO2e,"release_assumption;gas_type;GWP_version","Use 100% only as explicit assumption"
S3.CAT11.SCENARIO,3,Category 11 Use sold products,cat11_indirect_scenario,"units_sold;lifetime_uses;scenario_share;activity_per_use","scenario_EF","SUM(units_sold*lifetime_uses*scenario_share*activity_per_use*scenario_EF)",kgCO2e,"scenario_share_sum=1;geography;life_assumption","Indirect use phase"
S3.CAT12.EOL,3,Category 12 End-of-life,cat12_eol_treatment,"mass_sold_product_packaging;treatment_share","treatment_EF","SUM(mass_sold_product_packaging*treatment_share*treatment_EF)",kgCO2e,"treatment_share_sum=1;geography;consumer_assumption","Expected end-of-life"
S3.CAT13.ALLOCATED,3,Category 13 Downstream leased assets,cat13_allocated,"lessee_S1_S2;leased_asset_share","none","SUM(lessee_S1_S2 * leased_asset_share)",kgCO2e,"lessor;lease_fraction;no_cat11_double_count","Lessor perspective"
S3.CAT14.DIRECT,3,Category 14 Franchises,cat14_franchise_specific,"franchise_S1;franchise_S2","none","SUM(franchise_S1 + franchise_S2)",kgCO2e,"franchisor;franchise_boundary","Franchise-specific"
S3.CAT14.SAMPLE,3,Category 14 Franchises,cat14_sample_extrapolation,"sampled_emissions;total_franchises;sampled_franchises","none","sampled_emissions * total_franchises / sampled_franchises",kgCO2e,"group_definition;sample_representativeness","Apply per group"
S3.CAT15.EQUITY,3,Category 15 Investments,cat15_investment_specific,"investee_S1_S2;ownership_share","none","SUM(investee_S1_S2 * ownership_share)",kgCO2e,"investment_date;investee_period;share_evidence","Proportional equity allocation"
S3.CAT15.EEIO,3,Category 15 Investments,cat15_average_eeio,"investee_revenue;ownership_share","sector_EEIO_EF","SUM(investee_revenue * sector_EEIO_EF * ownership_share)",kgCO2e,"sector;currency;price_year;portfolio_date","Screening/average-data"
S3.CAT15.PROJECT,3,Category 15 Investments,cat15_project_finance,"project_S1_S2;investor_financing;total_project_cost","none","project_S1_S2 * investor_financing / total_project_cost",kgCO2e,"use_of_proceeds;project_period","Proportional project allocation"
